,AutoModerator,SalsaDraugur,Gloomy-Concentrate-2,Apollo_Danger,kchambers92,Walrusin_about,Chicken-fork-king,KeziaTML,Krombopulos-Savage,Olaaphrodite,Pikalika,Bigbam51,coppertech,tryM3B1tch,Vaelthune,Draxtonsmitz,RecklessGeek,soda_fucker,Tinkerballsack,neuromorph,AzureDementia,OneOverX,GrumpMcTaco,bongowasd,holololo2323,pumpkin2500,[deleted],VanCortez,potato_famine69,mennnnnnnnnnnnnnn,YuhboiGabe,PAPAxJI,Strict_Grab_6587,Aggressive-Mix-7923,SnooBananas6578,Opening_Builder9027,Longjumping_Key_1624,0507gotquestions,Repulsive_Home_5914,tomorrowlanding
AutoModerator,1.0,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
SalsaDraugur,0.36787944117144233,1.0,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
Gloomy-Concentrate-2,0.36787944117144233,0.36787944117144233,1.0,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
Apollo_Danger,0.36787944117144233,0.36787944117144233,0.36787944117144233,1.0,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
kchambers92,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,1.0,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
Walrusin_about,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,1.0,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
Chicken-fork-king,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,1.0,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
KeziaTML,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,1.0,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
Krombopulos-Savage,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,1.0,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
Olaaphrodite,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,1.0,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233,0.36787944117144233
